Series Name,Series Code,Time,Time Code,Myanmar [MMR]
Agricultural land (sq. km),AG.LND.AGRI.K2,1990,YR1990,104280
Agricultural land (sq. km),AG.LND.AGRI.K2,1991,YR1991,104160
Agricultural land (sq. km),AG.LND.AGRI.K2,1992,YR1992,103980
Agricultural land (sq. km),AG.LND.AGRI.K2,1993,YR1993,104460
Agricultural land (sq. km),AG.LND.AGRI.K2,1994,YR1994,104210
Agricultural land (sq. km),AG.LND.AGRI.K2,1995,YR1995,104500
Agricultural land (sq. km),AG.LND.AGRI.K2,1996,YR1996,105040
Agricultural land (sq. km),AG.LND.AGRI.K2,1997,YR1997,105190
Agricultural land (sq. km),AG.LND.AGRI.K2,1998,YR1998,105130
Agricultural land (sq. km),AG.LND.AGRI.K2,1999,YR1999,106090
Agricultural land (sq. km),AG.LND.AGRI.K2,2000,YR2000,108120
Agricultural land (sq. km),AG.LND.AGRI.K2,2001,YR2001,109390
Agricultural land (sq. km),AG.LND.AGRI.K2,2002,YR2002,109250
Agricultural land (sq. km),AG.LND.AGRI.K2,2003,YR2003,109820
Agricultural land (sq. km),AG.LND.AGRI.K2,2004,YR2004,110820
Agricultural land (sq. km),AG.LND.AGRI.K2,2005,YR2005,112630
Agricultural land (sq. km),AG.LND.AGRI.K2,2006,YR2006,115970
Agricultural land (sq. km),AG.LND.AGRI.K2,2007,YR2007,119840
Agricultural land (sq. km),AG.LND.AGRI.K2,2008,YR2008,122770
Agricultural land (sq. km),AG.LND.AGRI.K2,2009,YR2009,124410
Agricultural land (sq. km),AG.LND.AGRI.K2,2010,YR2010,125260
Agricultural land (sq. km),AG.LND.AGRI.K2,2011,YR2011,125580
Agricultural land (sq. km),AG.LND.AGRI.K2,2012,YR2012,125490
Agricultural land (sq. km),AG.LND.AGRI.K2,2013,YR2013,125870
Agricultural land (sq. km),AG.LND.AGRI.K2,2014,YR2014,126320
Agricultural land (sq. km),AG.LND.AGRI.K2,2015,YR2015,127489.999
Agricultural land (sq. km),AG.LND.AGRI.K2,2016,YR2016,127600
Agricultural land (sq. km),AG.LND.AGRI.K2,2017,YR2017,130536
Agricultural land (sq. km),AG.LND.AGRI.K2,2018,YR2018,130713
Agricultural land (sq. km),AG.LND.AGRI.K2,2019,YR2019,129794
Agricultural land (sq. km),AG.LND.AGRI.K2,2020,YR2020,129800
Agricultural land (sq. km),AG.LND.AGRI.K2,2021,YR2021,129800
Agricultural land (sq. km),AG.LND.AGRI.K2,2022,YR2022,..
Agricultural land (sq. km),AG.LND.AGRI.K2,2023,YR2023,..
,,,,
,,,,
,,,,
Data from database: World Development Indicators,,,,
Last Updated: 11/13/2024,,,,
