Country Name,Short Name,year,Record,Built-up Land,Carbon,Cropland,Fishing Grounds,Forest Products,Grazing Land,Total,Data Quality Score,isoa2
Myanmar,Myanmar,1961,EFConsTotGHA,372647.838863845,1028646.84588918,2829229.6879543,467545.191408211,5289910.16251813,311747.530222877,10299727.2568566,3A,MM
Myanmar,Myanmar,1961,BiocapTotGHA,372647.838863845,0,8557873.65846219,15714483.742224,37958107.0055209,267821.232935241,62870933.4780062,3A,MM
Myanmar,Myanmar,1962,EFConsTotGHA,441639.340401519,1078840.65171395,3233461.74916046,469051.767481662,5227642.86035362,325534.925683387,10776171.2947946,3A,MM
Myanmar,Myanmar,1962,BiocapTotGHA,441639.340401519,0,9025472.12000424,15691598.1075114,37971713.054701,284684.819527839,63415107.442146,3A,MM
Myanmar,Myanmar,1963,EFConsTotGHA,464625.577174337,1025462.09392678,2982594.95999118,470736.274256212,5286326.35195458,341967.528034926,10571712.785338,3A,MM
Myanmar,Myanmar,1963,BiocapTotGHA,464625.577174337,0,8491847.11005566,15668147.0867615,37931070.7979568,290289.103369499,62845979.6753178,3A,MM
Myanmar,Myanmar,1964,EFConsTotGHA,473796.861015272,1042553.60086452,5047235.94490614,472320.256371849,5463432.11162973,342973.168939526,12842311.943727,3A,MM
Myanmar,Myanmar,1964,BiocapTotGHA,473796.861015272,0,8977250.95512058,15649969.3197079,37917141.5953596,302858.207192348,63321016.9383958,3A,MM
Myanmar,Myanmar,1965,EFConsTotGHA,464096.479634265,908386.568712457,4445753.85952851,474500.258632585,5571030.88510601,356531.246215464,12220299.2978293,3A,MM
Myanmar,Myanmar,1965,BiocapTotGHA,464096.479634265,0,8871906.06665012,15632857.0226143,37913434.6241022,302527.05001799,63184821.2430189,3A,MM
Myanmar,Myanmar,1966,EFConsTotGHA,427629.201820898,907164.182995045,3858918.95864579,475840.396150965,5676285.35269865,338394.173139435,11684232.2654508,3A,MM
Myanmar,Myanmar,1966,BiocapTotGHA,427629.201820898,0,8409470.02585705,15598158.6311591,37990074.248134,303570.655191928,62728902.762163,3A,MM
