VariableGroup,Subgroup,Variable,Area,Year,Value,Unit,Symbol,IsAggregate
Water resources,Total renewable water resources,Dependency ratio,Myanmar,1991,14.129131701,%,E,False
Water resources,Total renewable water resources,Dependency ratio,Myanmar,1992,14.129131701,%,E,False
Water resources,Total renewable water resources,Dependency ratio,Myanmar,1993,14.129131701,%,E,False
Water resources,Total renewable water resources,Dependency ratio,Myanmar,1994,14.129131701,%,E,False
Water resources,Total renewable water resources,Dependency ratio,Myanmar,1995,14.129131701,%,E,False
Water resources,Total renewable water resources,Dependency ratio,Myanmar,1996,14.129131701,%,E,False
Water resources,Total renewable water resources,Dependency ratio,Myanmar,1997,14.129131701,%,E,False
Water resources,Total renewable water resources,Dependency ratio,Myanmar,1998,14.129131701,%,E,False
Water resources,Total renewable water resources,Dependency ratio,Myanmar,1999,14.129131701,%,E,False
Water resources,Total renewable water resources,Dependency ratio,Myanmar,2000,14.129131701,%,E,False
Water resources,Total renewable water resources,Dependency ratio,Myanmar,2001,14.129131701,%,E,False
Water resources,Total renewable water resources,Dependency ratio,Myanmar,2002,14.129131701,%,E,False
Water resources,Total renewable water resources,Dependency ratio,Myanmar,2003,14.129131701,%,E,False
Water resources,Total renewable water resources,Dependency ratio,Myanmar,2004,14.129131701,%,E,False
Water resources,Total renewable water resources,Dependency ratio,Myanmar,2005,14.129131701,%,E,False
Water resources,Total renewable water resources,Dependency ratio,Myanmar,2006,14.129131701,%,E,False
Water resources,Total renewable water resources,Dependency ratio,Myanmar,2007,14.129131701,%,E,False
Water resources,Total renewable water resources,Dependency ratio,Myanmar,2008,14.129131701,%,E,False
Water resources,Total renewable water resources,Dependency ratio,Myanmar,2009,14.129131701,%,E,False
Water resources,Total renewable water resources,Dependency ratio,Myanmar,2010,14.129131701,%,E,False
Water resources,Total renewable water resources,Dependency ratio,Myanmar,2011,14.129131701,%,E,False
Water resources,Total renewable water resources,Dependency ratio,Myanmar,2012,14.129131701,%,E,False
Water resources,Total renewable water resources,Dependency ratio,Myanmar,2013,14.129131701,%,E,False
Water resources,Total renewable water resources,Dependency ratio,Myanmar,2014,14.129131701,%,E,False
Water resources,Total renewable water resources,Dependency ratio,Myanmar,2015,14.129131701,%,E,False
Water resources,Total renewable water resources,Dependency ratio,Myanmar,2016,14.129131701,%,E,False
Water resources,Total renewable water resources,Dependency ratio,Myanmar,2017,14.129131701,%,E,False
Water resources,Total renewable water resources,Dependency ratio,Myanmar,2018,14.129131701,%,E,False
Water resources,Total renewable water resources,Dependency ratio,Myanmar,2019,14.129131701,%,I,False
Water resources,Total renewable water resources,Dependency ratio,Myanmar,2020,14.129131701,%,I,False
Water resources,Total renewable water resources,Dependency ratio,Myanmar,2021,14.129131701,%,I,False
Water resources,Total renewable water resources,Overlap: between surface water and groundwater,Myanmar,1991,443,10^9 m3/year,E,False
Water resources,Total renewable water resources,Overlap: between surface water and groundwater,Myanmar,1992,443,10^9 m3/year,E,False
Water resources,Total renewable water resources,Overlap: between surface water and groundwater,Myanmar,1993,443,10^9 m3/year,E,False
Water resources,Total renewable water resources,Overlap: between surface water and groundwater,Myanmar,1994,443,10^9 m3/year,E,False
Water resources,Total renewable water resources,Overlap: between surface water and groundwater,Myanmar,1995,443,10^9 m3/year,E,False
Water resources,Total renewable water resources,Overlap: between surface water and groundwater,Myanmar,1996,443,10^9 m3/year,E,False
Water resources,Total renewable water resources,Overlap: between surface water and groundwater,Myanmar,1997,443,10^9 m3/year,E,False
Water resources,Total renewable water resources,Overlap: between surface water and groundwater,Myanmar,1998,443,10^9 m3/year,E,False
Water resources,Total renewable water resources,Overlap: between surface water and groundwater,Myanmar,1999,443,10^9 m3/year,E,False
Water resources,Total renewable water resources,Overlap: between surface water and groundwater,Myanmar,2000,443,10^9 m3/year,E,False
Water resources,Total renewable water resources,Overlap: between surface water and groundwater,Myanmar,2001,443,10^9 m3/year,E,False
Water resources,Total renewable water resources,Overlap: between surface water and groundwater,Myanmar,2002,443,10^9 m3/year,E,False
Water resources,Total renewable water resources,Overlap: between surface water and groundwater,Myanmar,2003,443,10^9 m3/year,E,False
Water resources,Total renewable water resources,Overlap: between surface water and groundwater,Myanmar,2004,443,10^9 m3/year,E,False
Water resources,Total renewable water resources,Overlap: between surface water and groundwater,Myanmar,2005,443,10^9 m3/year,E,False
Water resources,Total renewable water resources,Overlap: between surface water and groundwater,Myanmar,2006,443,10^9 m3/year,E,False
Water resources,Total renewable water resources,Overlap: between surface water and groundwater,Myanmar,2007,443,10^9 m3/year,E,False
Water resources,Total renewable water resources,Overlap: between surface water and groundwater,Myanmar,2008,443,10^9 m3/year,E,False
Water resources,Total renewable water resources,Overlap: between surface water and groundwater,Myanmar,2009,443,10^9 m3/year,E,False
Water resources,Total renewable water resources,Overlap: between surface water and groundwater,Myanmar,2010,443,10^9 m3/year,E,False
Water resources,Total renewable water resources,Overlap: between surface water and groundwater,Myanmar,2011,443,10^9 m3/year,E,False
Water resources,Total renewable water resources,Overlap: between surface water and groundwater,Myanmar,2012,443,10^9 m3/year,E,False
Water resources,Total renewable water resources,Overlap: between surface water and groundwater,Myanmar,2013,443,10^9 m3/year,E,False
Water resources,Total renewable water resources,Overlap: between surface water and groundwater,Myanmar,2014,443,10^9 m3/year,E,False
Water resources,Total renewable water resources,Overlap: between surface water and groundwater,Myanmar,2015,443,10^9 m3/year,E,False
Water resources,Total renewable water resources,Overlap: between surface water and groundwater,Myanmar,2016,443,10^9 m3/year,E,False
Water resources,Total renewable water resources,Overlap: between surface water and groundwater,Myanmar,2017,443,10^9 m3/year,E,False
Water resources,Total renewable water resources,Overlap: between surface water and groundwater,Myanmar,2018,443,10^9 m3/year,E,False
